country,confirmed,death,recovered,active,population
Afghanistan,39074,1444,32576,5054,38041754
Albania,12535,364,6995,5176,2854191
Algeria,50023,1679,35180,13164,43053054
Andorra,1681,53,1199,429,77142
Angola,4117,154,1449,2514,31825295
Antigua and Barbuda,96,3,92,1,97118
Argentina,640147,13482,508563,118102,44938712
Armenia,47552,936,42637,3979,2957731
Australia,26942,854,24157,1931,25364307
Austria,38658,767,29516,8375,8877067
Azerbaijan,39280,576,36836,1868,10023318
Bahamas,3418,75,1771,1572,389482
Bahrain,65752,224,58626,6902,1641172
Bangladesh,350621,4979,258717,86925,163046161
Barbados,189,7,173,9,287025
Belarus,75898,785,73301,1812,9466856
Belgium,103392,9950,18977,74465,11484055
Belize,1635,21,967,647,390353
Benin,2294,40,1954,300,11801151
Bhutan,261,0,194,67,763092
Bolivia,130986,7654,90240,33092,11513100
Bosnia and Herzegovina,25521,770,18109,6642,3301000
Botswana,2567,13,624,1930,2303697
Brazil,4558040,137272,3993432,441152,211049527
Brunei,145,3,142,0,433285
Bulgaria,19014,765,13727,4522,6975761
Burkina Faso,1896,56,1189,651,20321378
Myanmar,6471,100,1445,4926,54045420
Burundi,474,1,462,11,11530580
Cabo Verde,5281,52,4674,555,549935
Cambodia,275,0,274,1,16486542
Cameroon,20598,416,19124,1058,25876380
Canada,147583,9279,127684,NA,37589262
Central African Republic,4786,62,1830,2894,4745185
Chad,1153,81,967,105,15946876
Chile,447468,12298,421111,NA,18952038
China,90381,4737,85257,387,1397715000
Colombia,770435,24397,640900,105138,50339443
Comoros,470,7,450,13,850886
"Congo, Rep.",5002,89,3887,1026,5380508
"Congo, Dem. Rep.",10519,271,9952,296,86790567
Costa Rica,65602,745,25127,39730,5047561
Cote d'Ivoire,19327,120,18630,577,25716544
Croatia,14992,253,12737,2002,4067500
Cuba,5141,116,4462,563,11333483
Cyprus,1603,22,1369,212,1198575
Czech Republic,50764,522,25425,24817,10669709
Denmark,23774,640,18165,4969,5818553
Djibouti,5404,61,5336,7,973560
Dominica,24,0,18,6,71808
Dominican Republic,108783,2054,82274,24455,10738958
Ecuador,126711,11095,102852,12764,17373662
Egypt,102141,5787,90332,6022,100388073
El Salvador,27798,812,21782,5204,6453553
Equatorial Guinea,5002,83,4509,410,1355986
Estonia,2941,64,2379,498,1326590
Eswatini,5282,104,4647,531,1148130
Ethiopia,69709,1108,28634,39967,112078730
Fiji,32,2,26,4,889953
Finland,9046,341,7700,1005,5520314
France,496851,31346,94289,371216,67059887
Gabon,8704,54,7875,775,2172579
Gambia,3526,108,1992,1426,2347706
Georgia,3695,20,1534,2141,3720382
Germany,275560,9390,242656,23514,83132799
Ghana,46062,297,45258,507,30417856
Greece,15595,344,1347,13904,10716322
Grenada,24,0,24,0,112003
Guatemala,85681,3124,75172,7385,16604026
Guinea,10344,65,9757,522,12771246
Guinea-Bissau,2303,39,1127,1137,1920922
Guyana,2402,65,1359,978,782766
Haiti,8624,221,6482,1921,11263077
Honduras,72075,2204,22611,47260,9746117
Hungary,18866,686,4401,13779,9769949
Iceland,2377,10,2125,242,361313
India,5562663,88935,4497867,975861,1366417754
Indonesia,248852,9677,180797,58378,270625568
Iran,425481,24478,361523,39480,82913906
Iraq,322856,8625,258075,56156,39309783
Ireland,33121,1792,23364,7965,4941444
Israel,190929,1273,136780,52876,9053300
Italy,299506,35724,218703,45079,60297396
Jamaica,5143,70,1407,3666,2948279
Japan,79462,1518,70970,NA,126264931
Jordan,5045,32,3527,1486,10101694
Kazakhstan,107374,1671,102064,3639,18513930
Kenya,37079,650,23949,12480,52573973
"Korea, Rep.",23106,388,20441,2277,51709098
Kuwait,99964,585,90930,8449,4207083
Kyrgyz Republic,45471,1063,41682,2726,6456900
Laos,23,0,22,1,7169455
Latvia,1526,36,1248,242,1912789
Lebanon,29987,307,12507,17173,6855713
Lesotho,1424,33,754,637,2125268
Liberia,1336,82,1218,36,4937374
Libya,28796,450,15384,12962,6777452
Liechtenstein,114,1,110,3,38019
Lithuania,3814,87,2199,1528,2786844
Luxembourg,7916,124,6839,953,619896
Madagascar,16073,225,14682,1166,26969307
Malawi,5733,179,4053,1501,18628747
Malaysia,10276,130,9395,751,31949777
Maldives,9770,34,8390,1346,530953
Mali,3024,128,2377,519,19658031
Malta,2776,23,2079,674,502653
Mauritania,7384,161,6977,246,4525696
Mauritius,366,10,338,18,1265711
Mexico,700580,73697,596317,30566,127575529
Moldova,46796,1211,35018,10567,2657637
Monaco,195,1,159,35,38964
Mongolia,313,0,302,11,3225167
Montenegro,8842,138,5425,3279,622137
Morocco,103119,1855,84158,17106,36471769
Mozambique,6912,44,3738,3130,30366036
Namibia,10526,113,8112,2301,2494530
Nepal,65276,427,47238,17611,28608710
Netherlands,100491,6327,2993,91171,17332850
New Zealand,1815,25,1729,61,4917000
Nicaragua,4961,147,2913,1901,6545502
Niger,1189,69,1104,16,23310715
Nigeria,57437,1100,48674,7663,200963599
North Macedonia,16780,700,13949,2131,2083459
Norway,13005,267,10371,2367,5347896
Oman,94051,853,85781,7417,4974986
Pakistan,306886,6424,293159,7303,216565318
Panama,106810,2272,82320,22218,4246439
Papua New Guinea,517,7,232,278,8776109
Paraguay,34260,676,18629,14955,7044636
Peru,768895,31369,607837,129689,32510453
Philippines,290190,4999,230233,54958,108116615
Poland,79988,2298,64604,13086,37970874
Portugal,69200,1920,45736,21544,10269417
Qatar,123604,211,120540,2853,2832067
Romania,113589,4458,90649,18482,19356544
Russia,1105048,19420,909026,176602,144373535
Rwanda,4722,27,2973,1722,12626950
St. Kitts and Nevis,19,0,17,2,52823
St. Lucia,27,0,26,1,182790
St. Vincent and the Grenadines,64,0,64,0,110589
San Marino,723,42,669,12,33860
Sao Tome and Principe,908,15,880,13,215056
